,0
0,0.005
1,0.0069839679358717445
2,0.008967935871743488
3,0.01095190380761523
4,0.012935871743486978
5,0.014919839679358723
6,0.016903807615230464
7,0.018887775551102205
8,0.020871743486973956
9,0.022855711422845697
10,0.02483967935871744
11,0.026823647294589185
12,0.028807615230460933
13,0.030791583166332678
14,0.03277555110220441
15,0.03475951903807615
16,0.03674348697394789
17,0.038727454909819645
18,0.04071142284569139
19,0.04269539078156313
20,0.04467935871743488
21,0.046663326653306615
22,0.04864729458917836
23,0.05063126252505012
24,0.052615230460921855
25,0.054599198396793606
26,0.056583166332665344
27,0.05856713426853709
28,0.06055110220440881
29,0.06253507014028058
30,0.06451903807615232
31,0.06650300601202407
32,0.06848697394789582
33,0.07047094188376755
34,0.0724549098196393
35,0.07443887775551104
36,0.07642284569138277
37,0.07840681362725453
38,0.08039078156312626
39,0.08237474949899802
40,0.08435871743486976
41,0.0863426853707415
42,0.08832665330661324
43,0.09031062124248498
44,0.09229458917835671
45,0.09427855711422846
46,0.0962625250501002
47,0.09824649298597193
48,0.1002304609218437
49,0.10221442885771544
50,0.1041983967935872
51,0.10618236472945893
52,0.10816633266533067
53,0.11015030060120241
54,0.11213426853707414
55,0.11411823647294589
56,0.1161022044088176
57,0.11808617234468935
58,0.1200701402805611
59,0.12205410821643284
60,0.12403807615230457
61,0.12602204408817633
62,0.12800601202404807
63,0.12998997995991982
64,0.13197394789579156
65,0.13395791583166328
66,0.13594188376753505
67,0.1379258517034068
68,0.13990981963927854
69,0.14189378757515028
70,0.14387775551102203
71,0.1458617234468938
72,0.14784569138276552
73,0.14982965931863726
74,0.151813627254509
75,0.15379759519038078
76,0.1557815631262525
77,0.15776553106212424
78,0.159749498997996
79,0.16173346693386773
80,0.16371743486973947
81,0.16570140280561121
82,0.16768537074148296
83,0.16966933867735473
84,0.17165330661322645
85,0.17363727454909822
86,0.17562124248496994
87,0.1776052104208417
88,0.17958917835671342
89,0.1815731462925852
90,0.18355711422845689
91,0.18554108216432869
92,0.18752505010020043
93,0.18950901803607217
94,0.1914929859719439
95,0.19347695390781564
96,0.1954609218436874
97,0.19744488977955915
98,0.19942885771543087
99,0.20141282565130264
100,0.20339679358717436
101,0.20538076152304616
102,0.20736472945891785
103,0.20934869739478962
104,0.21133266533066133
105,0.21331663326653313
106,0.21530060120240482
107,0.2172845691382766
108,0.2192685370741483
109,0.22125250501002008
110,0.22323647294589183
111,0.22522044088176357
112,0.22720440881763526
113,0.22918837675350703
114,0.23117234468937875
115,0.23315631262525044
116,0.23514028056112224
